,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,FAVPELOSI,HEALTHCARE18,IMPEACH18,MUELLERAPP,RUSSIA18,TRUMPIMM,RELIGN18,RACEFACTOR,ISSUE18,RACE18
6489,36929,The Republican candidate,,Male,The Republican candidate,50-59,All others,8,Never attended college,No,All Other,Independent,Independent Men,Conservative,Conservative Independents,American Indian,Midwest,Rural,Other,Version 2,.953815221786499,All other races,Non-white,Missouri,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Other Christian,No group is favored,Immigration,Not at all important
6494,36945,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,White 30-44,4,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,East,Suburbs,White suburban women,Version 2,.60864394903183,White women,White, Maryland,Omit,Major changes,Omit,Approve,Justified,Too tough,None,Whites are favored over minorities,Gun policy,Very important
6496,36951,The Democratic candidate,The Democratic candidate,Female,The Republican candidate,30-39,White 30-44,8,Never attended college,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,South,Suburbs,White suburban women,Version 2,.75654149055481,White women,White,Florida,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,None,No group is favored,Health care,Not at all important
6503,36967,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,45-49,White 45-59,2,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,Midwest,Suburbs,White suburban men,Version 2,.543611526489258,White men,White,Wisconsin,Favorable,Major changes,No,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
6504,36968,The Democratic candidate,The Democratic candidate,Male,,40-44,All others,6,Bachelor's degree (BA or BS),No,All Other,Independent,Independent Men,Liberal,Liberal Independents,Other,South,Suburbs,Other,Version 2,.432701408863068,All other races,Non-white,Alabama,Favorable,Major changes,No,Approve,Justified,Omit,Other,Whites are favored over minorities,Health care,Very important
6505,36970,The Republican candidate,The Republican candidate,Female,The Republican candidate,65 or over,White 60+,1,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 2,1.33678424358368,White women,White, Michigan,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Catholic,Minorities are favored over whites,Immigration,Not at all important
6506,36973,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,3,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.356230944395065,White women,White,Wisconsin,Omit,Major changes,Yes,Omit,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Somewhat important
6507,36976,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,8,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban men,Version 2,.413451015949249,White men,White,Wisconsin,Omit,Major changes,Yes,Approve,Justified,Omit,Other Christian,No group is favored,Health care,Very important
6512,36986,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,Midwest,Suburbs,White suburban men,Version 2,.630855262279511,White men,White, Michigan,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Somewhat important
6513,36991,The Republican candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,8,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Something else,Independent Men,Liberal,Liberal Independents,White,East,Suburbs,White suburban men,Version 2,4.95411777496338,White men,White,Massachusetts,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Immigration,Very important
6514,36999,The Republican candidate,,Female,The Republican candidate,45-49,Black 45-59,8,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,Black,Midwest,Rural,Other,Version 2,.634713888168335,Black women,Non-white,Missouri,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,Health care,Not too important
6521,37013,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,6,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban women,Version 2,.423633307218552,White women,White,Minnesota,Unfavorable,Minor changes,Omit,Disapprove,Politically motivated,Too tough,Catholic,Whites are favored over minorities,Health care,Very important
6522,37016,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,East,Rural,Other,Version 2,.1588024944067,White men,White, Vermont,Unfavorable,Minor changes,No,Disapprove,Politically motivated,Not tough enough,Catholic,No group is favored,Immigration,Not too important
6529,37028,The Democratic candidate,,Female,The Democratic candidate,40-44,Black 30-44,2,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.253231346607208,Black women,Non-white, Mississippi,Unfavorable,Minor changes,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,The economy,Very important
6533,37039,The Republican candidate,The Republican candidate,Female,The Republican candidate,40-44,White 30-44,3,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 2,.885421633720398,White women,White, Michigan,Unfavorable,No changes at all,No,Omit,Politically motivated,About right,Other Christian,Minorities are favored over whites,The economy,Not too important
6541,37061,The Republican candidate,The Republican candidate,Male,The Democratic candidate,25-29,Black 18-29,8,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,Black,East,Suburbs,Other,Version 2,2.86348700523376,Black men,Non-white,Massachusetts,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Protestant,Whites are favored over minorities,Immigration,Very important
6552,37087,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Rural,Other,Version 2,.83219039440155,White women,White, Michigan,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6553,37088,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Rural,Other,Version 2,.83219039440155,White women,White, Michigan,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6557,37103,The Democratic candidate,The Republican candidate,Female,The Republican candidate,65 or over,White 60+,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.357403576374054,White women,White, Nebraska,Favorable,Major changes,Yes,Approve,Politically motivated,Too tough,Catholic,Minorities are favored over whites,Health care,Very important
6558,37109,The Democratic candidate,,Male,The Democratic candidate,50-59,White 45-59,3,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 2,.35516831278801,White men,White,Missouri,Favorable,Major changes,No,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6564,37123,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,6,Never attended college,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Rural,Other,Version 2,1.29561400413513,White men,White,Ohio,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
6572,37148,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 2,.543611526489258,White men,White,Wisconsin,Favorable,Major changes,No,Approve,Justified,Too tough,Protestant,No group is favored,Health care,Very important
6575,37158,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Black 18-29,4,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,Midwest,"Cities over 500,000",Other,Version 2,.563204646110535,Black women,Non-white,Wisconsin,Unfavorable,Major changes,Yes,Approve,Politically motivated,Too tough,None,Whites are favored over minorities,Health care,Very important
6586,37189,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,All others,8,Never attended college,No,All Other,Independent,Independent Women,Moderate,Moderate Independents,Asian,Midwest,"Cities 50,000-500,000",Other,Version 2,.449975937604904,All other races,Non-white,Wisconsin,Unfavorable,Major changes,No,Disapprove,Politically motivated,Too tough,None,Whites are favored over minorities,Immigration,Very important
6591,37201,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,8,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Suburbs,White suburban men,Version 2,1.17301988601685,White men,White,Florida,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Other,No group is favored,The economy,Somewhat important
6592,37202,The Democratic candidate,,Female,The Democratic candidate,65 or over,Black 60+,2,Never attended college,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.45137557387352,Black women,Non-white, Mississippi,Omit,Minor changes,Omit,Omit,Omit,Omit,Other Christian,Whites are favored over minorities,The economy,Not at all important
6599,37218,The Republican candidate,The Republican candidate,Female,The Democratic candidate,50-59,White 45-59,3,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.679767668247223,White women,White,Minnesota,Unfavorable,Major changes,No,Disapprove,Politically motivated,Not tough enough,Other,Whites are favored over minorities,Health care,Very important
6605,37237,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,White 45-59,8,Attended college but received no degree,No,White Independent,Something else,Independent Women,Conservative,Conservative Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.449975937604904,White women,White,Wisconsin,Unfavorable,Major changes,Yes,Disapprove,Politically motivated,Too tough,None,Whites are favored over minorities,Immigration,Somewhat important
6610,37252,The Democratic candidate,,Male,The Democratic candidate,50-59,White 45-59,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,White,South,Rural,Other,Version 2,.434473752975464,White men,White, Mississippi,Unfavorable,Minor changes,No,Disapprove,Politically motivated,Not tough enough,Other Christian,Whites are favored over minorities,The economy,Somewhat important
6612,37256,The Republican candidate,The Republican candidate,Male,The Republican candidate,18-24,White 18-29,3,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 2,.279710680246353,White men,White, Nebraska,Unfavorable,Major changes,No,Omit,Politically motivated,About right,Catholic,No group is favored,Immigration,Very important
6613,37258,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,30-39,White 30-44,8,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,East,Suburbs,White suburban women,Version 2,2.34297680854797,White women,White,Massachusetts,Favorable,Major changes,Yes,Approve,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
6628,37308,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,White 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.850838005542755,White men,White,Minnesota,Favorable,Major changes,Omit,Approve,Justified,Too tough,Protestant,No group is favored,Health care,Somewhat important
6629,37309,The Democratic candidate,,Male,The Democratic candidate,65 or over,Black 60+,2,Never attended college,No,Black Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.530683636665344,Black men,Non-white, Mississippi,Unfavorable,Minor changes,No,Disapprove,Omit,Too tough,Other Christian,Whites are favored over minorities,The economy,Not at all important
6648,37363,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,25-29,White 18-29,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 2,.406758904457092,White women,White,Wisconsin,Unfavorable,Major changes,Yes,Disapprove,Justified,Too tough,None,Whites are favored over minorities,Health care,Not at all important
6649,37372,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,8,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 2,.496948212385178,White women,White,Wisconsin,Unfavorable,Major changes,No,Omit,Omit,About right,Other Christian,No group is favored,Health care,Not at all important
6656,37383,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,8,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 2,4.01773548126221,White women,White,Massachusetts,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Catholic,No group is favored,Health care,Not too important
6657,37384,The Republican candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,8,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 2,4.01773548126221,White women,White,Massachusetts,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Catholic,No group is favored,Health care,Not too important
6658,37385,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Black 60+,5,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Independent,Independent,Independent Men,Moderate,Moderate Independents,Black,Midwest,Suburbs,Other,Version 2,.52990198135376,Black men,Non-white,Wisconsin,Omit,Minor changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6659,37388,The Republican candidate,The Republican candidate,Female,The Democratic candidate,30-39,White 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.326806575059891,White women,White, Nebraska,Unfavorable,Minor changes,No,Approve,Politically motivated,About right,Other Christian,Minorities are favored over whites,The economy,Not too important
6663,37404,The Democratic candidate,The Democratic candidate,Male,Other,25-29,White 18-29,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,White,East,Rural,Other,Version 2,.0726123824715614,White men,White, Vermont,Favorable,Major changes,Yes,Approve,Justified,Too tough,Other,Whites are favored over minorities,The economy,Somewhat important
6669,37423,The Republican candidate,The Republican candidate,Female,The Republican candidate,30-39,Latino 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.302418023347855,Latino women,Non-white, Nebraska,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Other,No group is favored,Health care,Somewhat important
6682,37465,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,6,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban men,Version 2,.484851121902466,White men,White,Minnesota,Favorable,Major changes,Yes,Approve,Justified,Too tough,Other Christian,Whites are favored over minorities,Health care,Very important
6707,37534,The Republican candidate,The Republican candidate,Male,The Republican candidate,30-39,White 30-44,6,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 2,.788102388381958,White men,White,Minnesota,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Other Christian,No group is favored,The economy,Somewhat important
6708,37536,The Democratic candidate,,Male,The Democratic candidate,40-44,Black 30-44,2,Never attended college,No,Black Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.29772487282753,Black men,Non-white, Mississippi,Unfavorable,No changes at all,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,The economy,Omit
6711,37545,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,60-64,Black 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Black,Midwest,"Cities 50,000-500,000",Other,Version 2,.648005843162537,Black men,Non-white,Minnesota,Unfavorable,Major changes,No,Approve,Justified,About right,Catholic,Whites are favored over minorities,Gun policy,Very important
6726,37589,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,9,Bachelor's degree (BA or BS),No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,East,Rural,Other,Version 2,.66452419757843,White women,White,Pennsylvania,Unfavorable,Major changes,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,Health care,Very important
6729,37597,The Republican candidate,The Republican candidate,Female,The Republican candidate,65 or over,White 60+,8,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,South,Suburbs,White suburban women,Version 2,1.77839517593384,White women,White,Florida,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,Immigration,Somewhat important
6749,37652,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,6,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 2,.423633307218552,White women,White,Minnesota,Unfavorable,Major changes,Yes,Approve,Justified,Too tough,Other Christian,Whites are favored over minorities,Gun policy,Very important
6750,37653,The Republican candidate,The Republican candidate,Female,The Republican candidate,40-44,White 30-44,6,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 2,1.81842756271362,White women,White,Ohio,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,The economy,Not too important
6752,37656,The Republican candidate,The Republican candidate,Female,The Republican candidate,60-64,White 60+,3,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,Midwest,Rural,Other,Version 2,.507301926612854,White women,White, Nebraska,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,The economy,Somewhat important
6753,37657,The Republican candidate,The Republican candidate,Female,The Republican candidate,60-64,White 60+,3,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,Midwest,Rural,Other,Version 2,.507301926612854,White women,White, Nebraska,Unfavorable,Major changes,No,Disapprove,Politically motivated,About right,Protestant,No group is favored,The economy,Somewhat important
6756,37665,The Republican candidate,The Republican candidate,Female,The Republican candidate,30-39,White 30-44,2,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.302418023347855,White women,White, Nebraska,Unfavorable,Omit,Yes,Disapprove,Justified,Not tough enough,Other Christian,Omit,Health care,Not too important
6764,37696,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,Midwest,Suburbs,White suburban men,Version 2,.604541957378387,White men,White,Wisconsin,Unfavorable,Minor changes,No,Disapprove,Politically motivated,Not tough enough,Protestant,No group is favored,The economy,Not at all important
6766,37700,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,Black 45-59,2,Bachelor's degree (BA or BS),No,Black Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Black,Midwest,"Cities 50,000-500,000",Other,Version 2,.175253555178642,Black men,Non-white, Nebraska,Favorable,Major changes,Yes,Approve,Justified,Too tough,Other Christian,Whites are favored over minorities,Health care,Very important
6770,37717,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,White 30-44,3,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.418202131986618,White women,White,Minnesota,Unfavorable,Major changes,Yes,Disapprove,Justified,Too tough,None,Whites are favored over minorities,Health care,Very important
6772,37720,The Democratic candidate,,Female,The Democratic candidate,25-29,Black 18-29,2,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.223971366882324,Black women,Non-white, Mississippi,Unfavorable,Minor changes,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,The economy,Not at all important
6777,37735,The Democratic candidate,The Republican candidate,Female,Other,50-59,White 45-59,1,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,West,"Cities over 500,000",Other,Version 2,.199035093188286,White women,White, New Mexico,Unfavorable,Major changes,No,Disapprove,Politically motivated,Too tough,Protestant,Minorities are favored over whites,Health care,Somewhat important
6779,37739,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,8,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,South,Suburbs,White suburban women,Version 2,.780215203762054,White women,White,Florida,Favorable,Major changes,No,Approve,Politically motivated,About right,Catholic,No group is favored,Health care,Somewhat important
6781,37743,The Democratic candidate,The Democratic candidate,Male,Other,50-59,White 45-59,1,Never attended college,No,White Independent,Something else,Independent Men,Moderate,Moderate Independents,White,East,Rural,Other,Version 2,.0926070287823677,White men,White, Vermont,Unfavorable,Minor changes,Omit,Omit,Omit,About right,Protestant,No group is favored,Health care,Very important
6783,37754,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.357403576374054,White women,White, Nebraska,Favorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Gun policy,Somewhat important
6784,37755,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.357403576374054,White women,White, Nebraska,Favorable,Major changes,Yes,Approve,Justified,Too tough,Catholic,Whites are favored over minorities,Gun policy,Somewhat important
6797,37790,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,25-29,All others,3,Attended college but received no degree,No,All Other,Democrat,Democratic Men,Liberal,Liberal Democrats,American Indian,West,Suburbs,Other,Version 2,.49764010310173,All other races,Non-white, New Mexico,Favorable,Major changes,Yes,Approve,Politically motivated,Not tough enough,Other Christian,Whites are favored over minorities,The economy,Somewhat important
6798,37795,The Democratic candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,West,Suburbs,White suburban men,Version 2,.626674234867096,White men,White, New Mexico,Unfavorable,Major changes,Yes,Approve,Politically motivated,About right,None,Minorities are favored over whites,Health care,Not too important
6802,37807,The Republican candidate,The Republican candidate,Male,The Republican candidate,30-39,White 30-44,6,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 2,2.08120226860046,White men,White,Ohio,Unfavorable,Minor changes,No,Approve,Politically motivated,Not tough enough,Protestant,Minorities are favored over whites,Gun policy,Very important
6812,37846,The Democratic candidate,,Female,The Democratic candidate,65 or over,White 60+,7,Never attended college,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.598926961421967,White women,White,Missouri,Favorable,Major changes,Yes,Approve,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6817,37859,The Democratic candidate,,Male,The Democratic candidate,30-39,Black 30-44,2,Associate's degree (AA or AS),No,Black Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 2,.29772487282753,Black men,Non-white, Mississippi,Unfavorable,No changes at all,Yes,Disapprove,Politically motivated,Too tough,Other Christian,Whites are favored over minorities,Immigration,Not too important
6819,37861,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,1,Never attended college,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban women,Version 2,.584536850452423,White women,White,Wisconsin,Favorable,Minor changes,No,Approve,Politically motivated,About right,Other Christian,No group is favored,The economy,Very important
6827,37888,The Democratic candidate,,Female,The Democratic candidate,50-59,White 45-59,7,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.336923629045486,White women,White,Missouri,Favorable,Major changes,Yes,Disapprove,Justified,Too tough,Protestant,Whites are favored over minorities,Health care,Very important
6833,37903,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.615273654460907,White men,White, Nebraska,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Protestant,Minorities are favored over whites,Immigration,Not too important
6834,37904,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 2,.615273654460907,White men,White, Nebraska,Unfavorable,Minor changes,No,Disapprove,Politically motivated,About right,Protestant,Minorities are favored over whites,Immigration,Not too important
6840,37926,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Suburbs,White suburban men,Version 2,.517297506332397,White men,White,Oklahoma,Unfavorable,Major changes,Omit,Disapprove,Omit,Omit,Other Christian,Minorities are favored over whites,Immigration,Not too important
6841,37929,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,White 18-29,11,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 2,.375210732221603,White women,White, Michigan,Unfavorable,Major changes,Yes,Disapprove,Justified,Too tough,Other,Whites are favored over minorities,Gun policy,Very important
