ID,SENIN18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRAUNLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,DONNELLYLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBRAUN,FAVDEM2,FAVDONNELLY,FAVMCONL,FAVPARTY,FAVPELOSI,FAVPENCE,FAVREP2,FAVSENIN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVIN18,KAVIN18A,KAVIN18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN_1,TIME18SENMONTH_1,TIME18SENWEEK_1,TIME18SEN_2,TRADE18,TRADEBRAUN,TRADEDONNELLY,TRADEIN18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
31808,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,Call 1,3, ,Omit, ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Favorable,Favorable, ,Omit, , ,Omit,Only Joe Donnelly,About the same,Donald Trump was not a factor,No,2, , , ,Omit, , , , , , , , , , ,No, , , ,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat, ,115, , ,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Very serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,No impact, , , ,Omit,Omit, ,Version 2, , ,1.11223149299622, , ,Very important,Important
31811,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,1, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,1,No, ,The Republican Party, , , , , , , ,Immigration, , , ,No,Yes, , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,51,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Female,White women,Somewhat serious,Serious,Married women,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , , , , , ,Strongly or somewhat approve,Strongly approve, ,Version 3, , ,.972233474254608, ,White Born-again/Evangelical Christians,Somewhat important,Important
31815,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,Call 1,4, ,The Republican Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,Better,To express support for Donald Trump,No,2, , , ,No, , , , , , , , , , ,No, , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,7,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Female,White women,Very serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Strongly approve, ,Version 2, , ,1.02117478847504, , ,Not at all important,Not important
31820,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Not complete, , ,Call 1,7, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable, ,Favorable, , , , , ,Only Joe Donnelly, ,Donald Trump was not a factor,No,3, , , , , , , , , , , , , , ,No, , , ,18-44,18-64, , , , , , , , ,76, , ,Black,Black,State questionnaire, ,Black,Non-white,Black,Midwest, ,The Democratic candidate,Male,Black men, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , , , , ,Version 2, , ,.390494614839554, , , , 
31827,Lucy Brenton, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete, ,No,Call 1,8, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites, , , , , , , , , , , , ,5, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Immigration, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Something else,Independent Men,All others,Conservative,16,Moderate/Liberal Republicans,Conservative Independents,Black,Black,State questionnaire, ,Black,Non-white,Black,Midwest,Politically motivated,Other,Male,Black men, , ,Married men,Rural,Small Cities/Rural,Indiana,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,.309574574232101,No,All others, , 
31830,Joe Donnelly, ,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 1,5, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,4, ,Minor changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Immigration, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,24,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women, , ,Married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,No impact,Election day exit poll,In the last week,In the last month,In the last week, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Somewhat disapprove,Not tough enough,Version 1, ,Hillary Clinton,.885553777217865,No,All others, , 
31833,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 1,5, ,The Democratic Party, ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,No,3, , , ,Yes, , , , , , , , , , ,No, , , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,78,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Very serious,Serious, ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.518296003341675, , ,Very important,Important
31837,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,6, , , ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,6,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men, , ,Married men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other,No impact,Election day exit poll,Before that,Before that,Before that, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.828408002853394,No,All others, , 
31838,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete, ,Yes,Call 1,3, , , ,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Health care, , , ,No,No,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Something else,Independent Women,All others,Moderate,115,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire, ,Other,Non-white,Other,Midwest,Politically motivated,The Democratic candidate,Female,All other races, , ,Non married women,Suburbs,Suburbs,Indiana,Other,No impact,Election day exit poll,In the last week,In the last month,In the last week, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1, ,Other,.878928005695343,No,All others, , 
31843,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,9, ,The Republican Party, ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,About the same,Donald Trump was not a factor,No,5, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,82,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest, ,The Republican candidate,Female,White women,Not at all serious,Not serious, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat approve,Somewhat approve, ,Version 2, , ,.830136954784393, , ,Not too important,Not important
31848,Joe Donnelly, ,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 1,9, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Gun policy, , , ,No,Yes,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,38,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,Helped,Election day exit poll,In the last few days,In the last month,In the last week, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.674530982971191,No,All others, , 
31852,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete, ,Yes,Call 1,7, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites, , , , , , , , , , , , ,3, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Omit, , , ,No,Yes,Good,Excellent or good,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,76,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire, ,Black,Non-white,Black,Midwest,Politically motivated,The Democratic candidate,Female,Black women, , ,Married women,"Cities over 500,000","Cities over 50,000",Indiana,Other,Hurt,Election day exit poll,Before that,Before that,Before that, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.351197004318237,No,All others, , 
31856,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,6, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy, , , ,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,15,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Election day exit poll,Before that,Before that,Before that, , ,Omit,Omit,Omit,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,.743699550628662,No,White Born-again/Evangelical Christians, , 
31862,Mike Braun, ,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, ,Yes,Call 1,5, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration, , , ,No,No,Excellent,Excellent or good,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,31,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Omit,The Republican candidate,Female,White women, , ,Non married women,Suburbs,Suburbs,Indiana,White suburban women,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,.57870477437973,No,White Born-again/Evangelical Christians, , 
31867,Lucy Brenton, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 1,3, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Minor changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy, , , , ,Yes,Not so good,Not so good or poor,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,115,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,Other,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,Omit,Election day exit poll,In the last week,In the last month,In the last week, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.51185417175293,No,White Born-again/Evangelical Christians, , 
31870,Lucy Brenton, ,45-65,30-59,50-59,45+,50+,45-59,50-64, , , ,Complete, ,Yes,Call 1,5, , , ,Attended college but received no degree,No college degree,More than high school graduate, , , , , , , , , , , , , , ,2, ,Minor changes, , , , , , , , ,Health care, , , , ,Yes,Not so good,Not so good or poor,45+,18-64,Independent/Something else, , ,Independent men,Something else,Independent Men, ,Moderate,20,Moderate/Liberal Republicans,Moderate Independents, , ,State questionnaire, , , , ,Midwest,Politically motivated,Other,Male, , , ,Married men,Rural,Small Cities/Rural,Indiana,Other,Hurt,Election day exit poll,In the last month,In the last month,Before that, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Didn't vote,.501497328281403, ,All others, , 
31872,Mike Braun, ,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Not complete, , ,Call 1,6, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates, , , ,Unfavorable, ,Unfavorable,Favorable, , , , , ,2, , ,The Republican Party, , , , , , , , , , , ,No, , , ,18-44,18-64, , , , , , , , ,14, , ,White,White,State questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , , , , ,Version 3, , ,.589462041854858, , , , 
31876,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,Call 1,6, ,The Republican Party, ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Unfavorable,Favorable, ,Only Republican Party, , ,Favorable,Both,Better,To express support for Donald Trump,No,5, , , ,No, , , , , , , , , , ,No, , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,6,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Female,White women,Somewhat serious,Serious, ,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Strongly approve, ,Version 2, , ,1.09242510795593, , ,Somewhat important,Important
31878,Mike Braun, ,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete, , ,Call 1,4, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , , , ,Unfavorable, , , , , , ,4, ,No changes at all, ,No, , , , , , ,Immigration, , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,85,Independent/Something else,Conservative Republicans,White,White,National questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , , , , , , , ,About right,Version 2, , ,1.33909165859222, , , , 
31884,Joe Donnelly, ,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete, , ,Call 1,5, ,The Democratic Party, ,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,Yes,3, , , ,Yes, , , , , , , , , , ,Yes, , , ,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,78,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,State questionnaire,Cares about people like me,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest, ,The Democratic candidate,Female,Latino women,Very serious,Serious, ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.625990867614746, , ,Very important,Important
31890,Joe Donnelly, ,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete, ,No,Call 1,5, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration, , , ,No,No,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Liberal,24,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women, , ,Non married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,No impact,Election day exit poll,In the last month,In the last month,Before that, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Donald Trump,.528592526912689,No,All others, , 
31891,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,No,Call 1,9, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Immigration, , , ,No,Yes,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,82,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,.870790958404541,No,All others, , 
31893,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 1,3, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Health care, , , ,No,No,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,115,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Omit,The Republican candidate,Female,White women, , ,Non married women,Suburbs,Suburbs,Indiana,White suburban women,No impact,Election day exit poll,In the last few days,In the last month,In the last week, , ,Omit,Omit,Omit,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.859936654567719,Yes,White Born-again/Evangelical Christians, , 
31909,Joe Donnelly, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , ,Call 1,7, ,The Democratic Party, ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,No,3, , , ,No, , , , , , , , , , ,No, , , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,76,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Very serious,Serious, ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.890410006046295, , ,Very important,Important
31910,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 1,6, ,The Republican Party, ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,About the same,To express support for Donald Trump,No,5, , , ,No, , , , , , , , , , ,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,6,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Male,White men,Very serious,Serious, ,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Somewhat approve, ,Version 2, , ,.661716520786285, , ,Very important,Important
31912,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 1,6, , , ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Immigration, , , ,No,No,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,14,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Non married men,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.707958400249481,Yes,All others, , 
31920,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,2, ,The Republican Party, ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,Better,To express support for Donald Trump,No,1, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,59,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Male,White men,Not too serious,Not serious, ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat approve,Somewhat approve, ,Version 2, , ,.639390826225281, , ,Not too important,Not important
31922,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 1,8, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, ,Unfavorable, , ,Only Republican Party, , ,Favorable, ,Better, , ,5, , , , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white", , , , ,No, ,Excellent,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,105,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Helped,Election day exit poll, , , , ,No impact, , , , , , ,Version 4, , ,1.72046291828156,No, , , 
