,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
6304,36435,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,6,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,Midwest,Suburbs,White suburban men,Version 4,.484851121902466,White men,White,Minnesota,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Helped,No impact,Becoming more divided
6308,36441,The Democratic candidate,The Republican candidate,Male,,45-49,White 45-59,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,South,Suburbs,White suburban men,Version 4,.547126412391663,White men,White,South Carolina,Generally going in the right direction,Unfavorable,Neither party,Unfavorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Excellent,No impact,No impact,Becoming more divided
6310,36444,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,White 30-44,13,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 4,.813680469989777,White women,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
6313,36451,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,30-39,White 30-44,3,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban men,Version 4,.630855262279511,White men,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
6318,36463,The Democratic candidate,The Democratic candidate,Male,,65 or over,White 60+,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Rural,Other,Version 4,1.07106971740723,White men,White,Kansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Staying about the same
6319,36464,The Democratic candidate,The Democratic candidate,Male,,65 or over,White 60+,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Rural,Other,Version 4,1.07106971740723,White men,White,Kansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Staying about the same
6325,36479,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.61865150928497,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,No impact,Becoming more divided
6327,36481,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,6,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,.589699923992157,White women,White,Minnesota,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more united
6328,36488,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.61865150928497,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,No impact,Becoming more divided
6331,36496,The Republican candidate,The Republican candidate,Female,,60-64,White 60+,4,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,South,Rural,Other,Version 4,.356073409318924,White women,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6335,36509,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,All others,13,Bachelor's degree (BA or BS),No,All Other,Democrat,Democratic Men,Liberal,Liberal Democrats,Asian,Midwest,Suburbs,Other,Version 4,1.65544414520264,All other races,Non-white, Michigan,Generally going in the right direction,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and non white",Yes,Good,Hurt,Helped,Becoming more united
6339,36518,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.61865150928497,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,No impact,Becoming more divided
6345,36534,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,5,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Suburbs,White suburban men,Version 4,.570641338825226,White men,White,Alabama,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Worse,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,Helped,Helped,Becoming more united
6346,36535,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,5,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Suburbs,White suburban men,Version 4,.570641338825226,White men,White,Alabama,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Worse,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,Helped,Helped,Becoming more united
6351,36548,The Republican candidate,The Republican candidate,Male,,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Suburbs,White suburban men,Version 4,1.12817549705505,White men,White,South Carolina,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
6352,36549,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,8,Never attended college,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,.642167270183563,White women,White,Wisconsin,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
6359,36567,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,Suburbs,White suburban men,Version 4,.750495851039886,White men,White, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6363,36579,The Republican candidate,The Republican candidate,Female,The Republican candidate,30-39,All others,1,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,Asian,Midwest,Rural,Other,Version 4,.752001881599426,All other races,Non-white, Michigan,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and non white",No,Excellent,Helped,Helped,Becoming more divided
6369,36603,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,50-59,White 45-59,8,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban women,Version 4,.361248284578323,White women,White,Wisconsin,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
6372,36608,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,65 or over,White 60+,2,Never attended college,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,1.32064986228943,White women,White, Michigan,Generally going in the right direction,Favorable,Omit,Omit,About the same,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Staying about the same
6373,36609,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban women,Version 4,.97983705997467,White women,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6378,36628,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,1.52995836734772,White men,White, Michigan,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more united
6385,36644,The Democratic candidate,The Republican candidate,Female,,60-64,White 60+,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,South,Rural,Other,Version 4,.270000487565994,White women,White,Arkansas,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6388,36648,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,All others,8,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Other,Independent,Independent Women,Liberal,Liberal Independents,Other,East,Suburbs,Other,Version 4,2.34297680854797,All other races,Non-white,Massachusetts,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Good,No impact,No impact,Becoming more divided
6401,36692,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,2,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,Midwest,Suburbs,White suburban men,Version 4,.873227298259735,White men,White,Wisconsin,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Helped,Helped,Staying about the same
6403,36699,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,8,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 4,.799892544746399,White women,White,Wisconsin,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Poor,Hurt,Helped,Staying about the same
6410,36712,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,Black 30-44,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Independent,Independent,Independent Women,Moderate,Moderate Independents,Black,East,Suburbs,Other,Version 4,.688069343566895,Black women,Non-white, Maryland,Seriously off on the wrong track,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and non white",No,Good,No impact,Hurt,Becoming more divided
6418,36744,The Democratic candidate,,Female,The Democratic candidate,30-39,White 30-44,3,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 4,.310324400663376,White women,White,Missouri,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6419,36745,The Democratic candidate,The Democratic candidate,Female,,65 or over,Black 60+,2,Never attended college,No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,South,"Cities 50,000-500,000",Other,Version 4,.118527755141258,Black women,Non-white,Arkansas,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,Hurt,Staying about the same
6426,36774,The Democratic candidate,,Female,The Democratic candidate,50-59,Black 45-59,2,Never attended college,No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 4,.253231346607208,Black women,Non-white, Mississippi,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
6428,36776,The Republican candidate,The Republican candidate,Male,,18-24,Latino 18-29,3,Never attended college,Yes,Latino Independent,Independent,Independent Men,Moderate,Moderate Independents,Hispanic/Latino,Midwest,Suburbs,Other,Version 4,.867830812931061,Latino men,Non-white, Michigan,Generally going in the right direction,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and non white",Yes,Good,Helped,No impact,Becoming more divided
6447,36829,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Black 30-44,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,Midwest,Suburbs,Other,Version 4,.69681990146637,Black women,Non-white, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,No impact,Hurt,Becoming more divided
6448,36832,The Republican candidate,,Female,The Republican candidate,60-64,White 60+,8,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,1.4814544916153,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Omit,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
6451,36839,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Rural,Other,Version 4,.952447235584259,White men,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
6460,36853,The Republican candidate,The Democratic candidate,Male,The Democratic candidate,30-39,Black 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Independent,Something else,Independent Men,Moderate,Moderate Independents,Black,Midwest,"Cities 50,000-500,000",Other,Version 4,.28486630320549,Black men,Non-white, Nebraska,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Good,Hurt,Hurt,Becoming more divided
6462,36863,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Black 30-44,13,Associate's degree (AA or AS),No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,Midwest,Suburbs,Other,Version 4,.69681990146637,Black women,Non-white, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and non white",No,Not so good,No impact,Hurt,Becoming more divided
6488,36927,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,2,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,"Cities 50,000-500,000",Other,Version 4,.150459796190262,White men,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,No impact,Staying about the same
6491,36931,The Democratic candidate,,Female,The Democratic candidate,30-39,White 30-44,3,Attended college but received no degree,No,White Independent,Something else,Independent Women,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban women,Version 4,.310324400663376,White women,White,Missouri,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6492,36938,The Republican candidate,Other,Male,The Republican candidate,50-59,White 45-59,1,Associate's degree (AA or AS),No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,East,Rural,Other,Version 4,.103550121188164,White men,White, Vermont,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,No impact,Staying about the same
6493,36939,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,Latino 30-44,4,Attended college but received no degree,Yes,Latino Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,Other,Midwest,"Cities over 500,000",Other,Version 4,.752692878246307,Latino men,Non-white,Wisconsin,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and non white",No,Not so good,Hurt,No impact,Staying about the same
6498,36957,The Republican candidate,The Republican candidate,Female,The Republican candidate,60-64,White 60+,3,Never attended college,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,.507301926612854,White women,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,$200.000 or more,"Over $50,000 and white",No,Excellent,No impact,Helped,Becoming more divided
6502,36964,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,65 or over,White 60+,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,East,Suburbs,White suburban women,Version 4,.300660014152527,White women,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
6509,36979,The Democratic candidate,,Female,The Democratic candidate,60-64,Black 60+,2,Associate's degree (AA or AS),No,Black Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,Black,South,Rural,Other,Version 4,.45137557387352,Black women,Non-white, Mississippi,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and non white",No,Not so good,No impact,No impact,Becoming more divided
6515,37000,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,4,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,Suburbs,White suburban men,Version 4,.750495851039886,White men,White, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,Hurt,No impact,Becoming more united
6519,37009,The Democratic candidate,The Democratic candidate,Male,Other,30-39,White 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,.241742968559265,White men,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
6520,37010,The Democratic candidate,The Democratic candidate,Male,Other,30-39,White 30-44,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,.241742968559265,White men,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
6524,37019,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,60-64,White 60+,3,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 4,.633248209953308,White women,White,Wisconsin,Generally going in the right direction,Favorable,Both parties,Favorable,Worse,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Not so good,Hurt,No impact,Becoming more divided
6527,37025,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,White 45-59,3,Attended college but received no degree,No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,Midwest,Rural,Other,Version 4,.200940802693367,White men,White, Nebraska,Generally going in the right direction,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
6530,37029,The Democratic candidate,,Male,The Democratic candidate,65 or over,White 60+,3,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban men,Version 4,.631359279155731,White men,White,Missouri,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
6540,37060,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,White 45-59,6,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 4,.423633307218552,White women,White,Minnesota,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6542,37063,The Republican candidate,,Female,The Republican candidate,50-59,White 45-59,8,Never attended college,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,Rural,Other,Version 4,.833385586738586,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,No impact,Becoming more divided
6544,37072,The Republican candidate,The Democratic candidate,Male,The Republican candidate,30-39,White 30-44,3,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,Midwest,Suburbs,White suburban men,Version 4,1.01337087154388,White men,White, Michigan,Generally going in the right direction,Unfavorable,Neither party,Unfavorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,No impact,Becoming more divided
6545,37074,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,White 30-44,3,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 4,.407708644866943,White men,White,Wisconsin,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,No impact,Becoming more divided
6554,37090,The Republican candidate,The Republican candidate,Female,The Republican candidate,45-49,White 45-59,8,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,.580289125442505,White women,White,Wisconsin,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Excellent,Helped,Helped,Becoming more united
6555,37093,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,3,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Rural,Other,Version 4,.580610334873199,White men,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,No impact,Staying about the same
6559,37115,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 4,.966342329978943,White men,White,Wisconsin,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
6562,37120,The Democratic candidate,The Republican candidate,Female,The Democratic candidate,30-39,White 30-44,4,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 4,.60864394903183,White women,White, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
6569,37137,The Republican candidate,The Republican candidate,Female,The Republican candidate,60-64,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 4,.537588596343994,White women,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
6570,37138,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,50-59,All others,8,Never attended college,No,All Other,Independent,Independent Men,Moderate,Moderate Independents,Asian,Midwest,"Cities 50,000-500,000",Other,Version 4,.515000343322754,All other races,Non-white,Wisconsin,Seriously off on the wrong track,Favorable,Both parties,Favorable,Worse,Omit,"$50,000-$99,999","Over $50,000 and non white",No,Good,No impact,No impact,Staying about the same
6576,37161,The Republican candidate,Other,Male,The Republican candidate,30-39,White 30-44,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,Midwest,Suburbs,White suburban men,Version 4,1.01337087154388,White men,White, Michigan,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Hurt,Becoming more divided
6583,37182,The Democratic candidate,The Democratic candidate,Female,,30-39,Black 30-44,6,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,South,Suburbs,Other,Version 4,.252198338508606,Black women,Non-white,Alabama,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Poor,Hurt,Hurt,Omit
